id,titles_id,critics_rating
1,50,3.1
2,49,4.6
3,48,6.4
4,47,3.1
5,46,6.7
6,45,7.2
7,44,4.4
8,43,9.8
9,42,9.1
10,41,8.8
11,40,8.3
12,39,3.1
13,38,4.3
14,37,9.4
15,36,6.5
16,35,5.6
17,34,5.5
18,33,8
19,32,5.4
20,31,6.5
21,30,5
22,29,3.7
23,28,7.3
24,27,6.8
25,26,5.2
26,25,6.4
27,24,3.7
28,23,7.7
29,22,6.6
30,21,4.2
31,20,3.2
32,19,3.8
33,18,9.8
34,17,9.8
35,16,3.4
36,15,9
37,14,6.6
38,13,7.9
39,12,3.6
40,11,5.4
41,10,4.3
42,9,6.6
43,8,6.1
44,7,6
45,6,8.4
46,5,3.2
47,4,5.7
48,3,6.4
49,2,5.9
50,1,4
